iter	Passed	Remaining
0	6	1913
1	11	1741
2	16	1681
3	23	1734
4	28	1701
5	36	1789
6	41	1753
7	49	1810
8	55	1778
9	61	1796
10	67	1763
11	73	1769
12	78	1743
13	85	1745
14	91	1735
15	96	1712
16	102	1710
17	107	1690
18	115	1701
19	122	1709
20	129	1713
21	134	1695
22	140	1688
23	145	1669
24	151	1670
25	158	1669
26	165	1669
27	170	1652
28	175	1636
29	181	1635
30	186	1622
31	193	1622
32	198	1609
33	205	1605
34	212	1611
35	221	1624
36	227	1616
37	233	1612
38	239	1600
39	246	1599
40	251	1586
41	257	1584
42	263	1572
43	270	1572
44	275	1559
45	277	1531
46	283	1526
47	288	1515
48	293	1504
49	299	1498
50	304	1487
51	310	1481
52	315	1471
53	321	1465
54	326	1455
55	331	1446
56	338	1441
57	343	1432
58	350	1430
59	355	1420
60	361	1416
61	366	1407
62	371	1398
63	379	1399
64	384	1390
65	390	1385
66	395	1376
67	401	1371
68	407	1363
69	413	1357
70	418	1349
71	423	1341
72	430	1338
73	435	1330
74	443	1329
75	448	1321
76	455	1320
77	460	1311
78	467	1307
79	472	1299
80	478	1293
81	483	1286
82	489	1278
83	496	1275
84	501	1267
85	508	1264
86	514	1258
87	520	1254
88	525	1246
89	532	1241
90	537	1233
91	542	1226
92	592	1318
93	632	1386
94	657	1417
95	669	1422
96	674	1411
97	682	1405
98	687	1395
99	693	1386
100	698	1376
101	704	1367
102	709	1357
103	714	1347
104	721	1339
105	726	1329
106	732	1321
107	737	1310
108	743	1303
109	748	1293
110	753	1283
111	760	1277
112	765	1267
113	773	1261
114	778	1252
115	784	1244
116	789	1235
117	796	1228
118	801	1219
119	806	1210
120	813	1202
121	818	1193
122	825	1187
123	830	1179
124	837	1172
125	842	1164
126	849	1156
127	854	1148
128	859	1139
129	866	1132
130	871	1124
131	878	1117
132	883	1109
133	889	1101
134	894	1092
135	900	1085
136	905	1077
137	910	1069
138	917	1062
139	922	1054
140	928	1047
141	934	1039
142	940	1032
143	945	1024
144	950	1016
145	958	1010
146	963	1002
147	969	996
148	975	988
149	981	981
150	986	973
151	993	967
152	998	959
153	1003	951
154	1009	944
155	1014	936
156	1020	929
157	1025	921
158	1032	915
159	1037	907
160	1042	899
161	1049	893
162	1054	886
163	1061	879
164	1066	872
165	1072	865
166	1077	858
167	1082	850
168	1088	843
169	1093	835
170	1099	829
171	1104	821
172	1110	815
173	1115	808
174	1120	800
175	1126	793
176	1131	786
177	1138	780
178	1143	773
179	1150	766
180	1155	759
181	1160	752
182	1166	745
183	1171	738
184	1177	731
185	1182	724
186	1189	718
187	1194	711
188	1200	704
189	1205	697
190	1211	691
191	1218	685
192	1223	678
193	1233	673
194	1246	671
195	1251	664
196	1258	657
197	1263	650
198	1271	645
199	1276	638
200	1283	631
201	1288	624
202	1294	618
203	1299	611
204	1305	605
205	1311	598
206	1316	591
207	1322	585
208	1327	578
209	1334	572
210	1339	565
211	1346	559
212	1351	552
213	1358	545
214	1363	538
215	1368	532
216	1375	526
217	1380	519
218	1387	513
219	1392	506
220	1398	499
221	1403	493
222	1408	486
223	1414	479
224	1419	473
225	1426	466
226	1430	460
227	1437	453
228	1442	447
229	1447	440
230	1454	434
231	1459	427
232	1465	421
233	1470	414
234	1476	408
235	1482	401
236	1486	395
237	1493	388
238	1497	382
239	1504	376
240	1509	369
241	1514	363
242	1520	356
243	1525	350
244	1531	343
245	1536	337
246	1543	331
247	1548	324
248	1555	318
249	1560	312
250	1565	305
251	1571	299
252	1576	292
253	1583	286
254	1588	280
255	1594	274
256	1599	267
257	1604	261
258	1612	255
259	1617	248
260	1624	242
261	1629	236
262	1636	230
263	1641	223
264	1648	217
265	1653	211
266	1658	204
267	1664	198
268	1669	192
269	1675	186
270	1680	179
271	1687	173
272	1692	167
273	1698	161
274	1704	154
275	1709	148
276	1715	142
277	1720	136
278	1727	130
279	1732	123
280	1738	117
281	1744	111
282	1749	105
283	1756	98
284	1761	92
285	1767	86
286	1773	80
287	1779	74
288	1784	67
289	1790	61
290	1796	55
291	1801	49
292	1807	43
293	1812	36
294	1818	30
295	1823	24
296	1829	18
297	1835	12
298	1840	6
299	1846	0
